Location,Person Count,Vehicle Count,Injuries,Date,Hit Parked Car
AURORA AVE N BETWEEN WINONA AVE N AND N 75TH ST,2,2,1,01/03/2005,N
NE 66TH ST BETWEEN 8TH AVE NE AND ROOSEVELT WAY NE,2,2,0,27/04/2019,Y
MINOR AVE AND STEWART ST,2,2,0,26/03/2013,N
STEWART ST BETWEEN YALE AVE N AND EASTLAKE AVE E,2,2,1,25/03/2013,N
40TH AVE S AND S HOLLY PARK DR,2,2,0,02/04/2013,N
NW BOWDOIN PL BETWEEN 2ND AVE NW AND 3RD AVE NW,2,2,0,23/04/2019,Y
S SPOKANE SR ST BETWEEN 1ST AVE S AND 2ND AVE S,3,2,0,03/04/2013,N
BALLARD BR BETWEEN POINT B AND BALLARD BR OFF RP,5,5,0,12/11/2019,N
14TH AVE SW AND SW BARTON ST,1,1,0,30/06/2019,N
34TH AVE NW BETWEEN NW 72ND ST AND NW 73RD ST,2,2,0,26/03/2013,N
16TH AVE BETWEEN E JEFFERSON ST AND E CHERRY ST,0,0,0,07/10/2004,N
BOREN AVE AND HOWELL ST,1,0,0,29/05/2019,N
NE 45TH ST BETWEEN 5TH AVE NE AND 7TH AVE NE,0,0,0,09/07/2018,N
NW 75TH ST BETWEEN 16TH AVE NW AND 17TH AVE NW,0,0,0,22/03/2013,N
15TH AVE W AND W ARMORY WAY,3,0,1,27/11/2019,N
1ST AVE AND VINE ST,2,0,0,30/11/2019,N
EAST MARGINAL WAY S AND S MICHIGAN ST,1,0,1,03/12/2019,N
LAKE CITY WAY NE AND NE 130TH ST,2,2,2,02/04/2013,N
EAST MARGINAL WAY S BETWEEN S FIDALGO ST AND 1ST AVE S,3,0,0,29/11/2019,N
SW ADMIRAL NR WAY BETWEEN SW SPOKANE NR ST AND ADMIRAL AVALON RP,1,1,0,08/05/2019,N
4TH AVE S AND S JACKSON ST,2,2,0,20/11/2019,N
N 49TH ST BETWEEN WHITMAN AVE N AND WOODLAND PARK AVE N,2,2,0,18/06/2006,N
8TH AVE NE AND NE 65TH ST,2,2,0,20/03/2019,N
AURORA AVE N BETWEEN N 104TH ST AND N NORTHGATE WAY,2,2,1,22/03/2013,N
W BERTONA ST BETWEEN W NICKERSON ST AND 3RD AVE W,2,2,0,12/03/2019,Y
UNIVERSITY WAY NE BETWEEN NE 47TH ST AND NE 50TH ST,2,0,0,01/12/2019,Y
1ST AVE BETWEEN BATTERY ST AND WALL ST,2,1,1,02/07/2004,N
W MCGRAW ST BETWEEN 7TH AVE W AND 8TH AVE W,2,2,0,17/08/2004,N
M L KING JR WR WAY S AND S WEBSTER ST,2,2,2,03/07/2019,N
3RD AVE S AND DENVER AVE S,1,1,0,28/03/2013,N
PHINNEY AVE N AND N 105TH ST,3,2,0,12/04/2019,N
16TH AVE E BETWEEN E LYNN ST AND E MCGRAW ST,2,2,0,08/01/2005,N
AURORA AVE N BETWEEN N 128TH ST AND N 130TH ST,2,2,1,03/07/2019,N
FREMONT WAY N AND N 38TH ST,2,2,1,26/08/2005,N
7TH AVE NE BETWEEN NE 45TH ST AND NE 45TH ST ON RP,0,0,0,24/01/2019,Y
DENNY WAY BETWEEN QUEEN ANNE AVE N AND 1ST AVE,2,2,0,26/11/2019,N
MONTLAKE BLVD NE AND NE PACIFIC ST,2,1,1,28/03/2013,N
30TH AVE W AND W SMITH ST,2,1,1,20/11/2019,N
48TH AVE S AND S ALASKA ST,3,1,0,10/08/2005,N
E MADISON ST BETWEEN LAKE WASHINGTON BLVD E AND 32ND AVE E,2,1,1,12/10/2004,N
6TH AVE AND WALL ST,5,2,2,26/04/2019,N
7TH NB AVE N BETWEEN JOHN ST AND THOMAS ST,3,2,0,27/03/2013,N
E REPUBLICAN ST BETWEEN BELLEVUE AVE E AND SUMMIT AVE E,3,2,0,02/04/2013,N
FAIRVIEW AVE N AND MERCER ST,0,0,0,14/11/2004,N
8TH AVE NE BETWEEN NE 95TH ST AND NE 96TH ST,2,2,0,24/11/2019,Y
,2,2,0,03/05/2019,N
HIGHLAND PARK WAY SW AND WEST MARGINAL WAY SW,4,2,0,18/10/2006,N
MERIDIAN AVE N BETWEEN N 82ND ST AND N 85TH ST,1,1,0,26/11/2011,N
9TH AVE BETWEEN SPRING ST AND SENECA ST,2,2,0,26/06/2014,N
27TH AVE NE BETWEEN NE 62ND ST AND NE 65TH ST,2,2,0,26/04/2013,N
24TH AVE NE BETWEEN NE 65TH ST AND NE 68TH ST,2,2,0,23/03/2015,Y
DENSMORE AVE N BETWEEN N 88TH ST AND N 90TH ST,1,1,0,20/02/2007,N
RAINIER AVE S BETWEEN S CHICAGO ST AND S KENYON ST,0,1,0,19/02/2015,N
LINDEN AVE N BETWEEN N 59TH ST AND N 60TH ST,2,2,0,22/07/2007,N
22ND AVE NE BETWEEN 22ND WR S AVE NE AND NE 50TH ST,2,2,0,02/10/2007,N
2ND AVE AND SPRING ST,7,2,1,10/11/2007,N
4TH AVE S BETWEEN 4TH AVE AND S WASHINGTON ST,3,2,1,23/02/2004,N
I5 SB BETWEEN 45TH ST ON RP AND 50TH ST ON RP,0,0,0,28/07/2013,N
NW 39TH ST BETWEEN LEARY WAY NW AND 3RD AVE NW,3,2,1,04/03/2010,N
13TH AVE S AND AIRPORT WAY S,2,2,0,03/02/2017,N
59TH AVE SW BETWEEN SW STEVENS ST AND SW ADMIRAL WAY,3,2,0,29/03/2013,N
5TH AVE SW BETWEEN SW CAMBRIDGE ST AND SW ROXBURY ST,1,1,0,03/12/2011,N
S KING ST BETWEEN RAINIER AVE S AND 16TH AVE S,2,2,0,17/06/2010,N
2ND AVE S BETWEEN S TRENTON ST AND S HENDERSON ST,2,2,0,02/01/2015,N
1ST AVE S AND S SPOKANE NR ST,2,2,0,01/05/2007,N
BROAD ST BETWEEN HARRISON ST AND BROAD ST EB ON RP,2,2,2,04/10/2006,N
AURORA AVE N BETWEEN N 130TH ST AND N 135TH ST,2,2,1,20/07/2007,N
BELLEVUE AVE BETWEEN E HOWELL ST AND E DENNY WAY,2,2,0,04/03/2012,N
SW SOUTHERN ST BETWEEN CALIFORNIA AVE SW AND NORTHROP PL SW,0,0,0,06/09/2009,N
N 35TH ST BETWEEN EVANSTON AVE N AND FREMONT AVE N,2,2,0,16/02/2009,N
17TH AVE BETWEEN E ALDER ST AND E JEFFERSON ST,0,0,0,07/02/2011,N
20TH AVE NE AND NE 143RD ST,2,2,1,09/02/2012,N
BATTERY ST BETWEEN 5TH AVE AND AURORA AVE,7,4,2,01/11/2015,N
BEACON ER AVE S AND S EDDY ST,2,2,1,14/03/2008,N
1ST AVE S AND EAST MARGINAL WAY S,2,2,1,04/11/2013,N
EAST MARGINAL WAY S AND S NEVADA ST,3,2,0,05/12/2011,N
4TH AVE AND CHERRY ST,0,0,0,09/07/2009,N
32ND AVE BETWEEN E YESLER WAY AND LAKE DELL AVE,2,2,0,26/03/2009,N
NE 125TH ST BETWEEN 8TH AVE NE AND ROOSEVELT S WAY NE,3,2,0,24/11/2008,N
23RD AVE BETWEEN E YESLER WAY AND E FIR ST,3,2,0,30/03/2013,N
PINE ST BETWEEN 5TH AVE AND 6TH AVE,2,2,0,15/06/2006,N
6TH AVE AND OLIVE WAY,4,2,0,14/12/2015,N
CLOVERDALE ST OFF RP AND S CLOVERDALE ST,2,2,0,26/05/2011,N
AIRPORT WAY S BETWEEN S MASSACHUSETTS ST AND S HOLGATE N ST,2,2,0,20/06/2007,N
DAYTON AVE N AND N 92ND ST,2,2,2,03/10/2008,N
